Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,4187,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,345,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2260,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2797,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1112,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1521,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,243,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,5018,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,19,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1020,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,1,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,26,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,55,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,597,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,249,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,252,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1185,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2439,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,62,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1735,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,3,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1516,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1593,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,237,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,28,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1895,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1138,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,1852,,,,,,,,,,,,
